accessionNumber,filingDate,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
0000950170-24-107649,2024-09-18,4,,,,15316,0,0,xslF345X05/ownership.xml,4
0000950170-24-107646,2024-09-18,4,,,,13671,0,0,xslF345X05/ownership.xml,4
0000950170-24-107567,2024-09-17,4,,,,10515,0,0,xslF345X05/ownership.xml,4
0000950170-24-107535,2024-09-17,4,,,,6945,0,0,xslF345X05/ownership.xml,4
0000950170-24-107513,2024-09-17,4,,,,12293,0,0,xslF345X05/ownership.xml,4
0000950170-24-106720,2024-09-16,4,,,,11759,0,0,xslF345X05/ownership.xml,4
0000950170-24-105252,2024-09-10,4,,,,7174,0,0,xslF345X05/ownership.xml,4
0000950170-24-104325,2024-09-06,4,,,,8829,0,0,xslF345X05/ownership.xml,4
0000950170-24-104145,2024-09-05,4,,,,17489,0,0,xslF345X05/ownership.xml,4
0000950170-24-103909,2024-09-05,4,,,,10012,0,0,xslF345X05/ownership.xml,4
0000950170-24-102976,2024-09-03,4,,,,7173,0,0,xslF345X05/ownership.xml,4
0000950170-24-101168,2024-08-27,4,,,,9586,0,0,xslF345X05/ownership.xml,4
0000950170-24-099613,2024-08-21,4,,,,8386,0,0,xslF345X05/ownership.xml,4
0000950170-24-098822,2024-08-19,4,,,,8906,0,0,xslF345X05/ownership.xml,4
0000950170-24-098138,2024-08-16,4,,,,10604,0,0,xslF345X05/ownership.xml,4
0000950170-24-095703,2024-08-12,4,,,,15087,0,0,xslF345X05/ownership.xml,4
0000950170-24-094779,2024-08-09,4,,,,8059,0,0,xslF345X05/ownership.xml,4
0000950170-24-093141,2024-08-07,4,,,,13008,0,0,xslF345X05/ownership.xml,4
0000950170-24-090220,2024-08-02,4,,,,7170,0,0,xslF345X05/ownership.xml,4
0000950170-24-088112,2024-07-30,4,,,,12715,0,0,xslF345X05/ownership.xml,4
0000950170-24-087040,2024-07-26,4,,,,9579,0,0,xslF345X05/ownership.xml,4
0000950170-24-087025,2024-07-26,4,,,,7275,0,0,xslF345X05/ownership.xml,4
